api,date,time
JCDecaux,17/02/22,16:57:13
JCDecaux,17/02/22,16:57:18
JCDecaux,17/02/22,17:03:17
JCDecaux,17/02/22,17:03:40
JCDecaux,17/02/22,17:03:52
JCDecaux,17/02/22,17:05:18
JCDecaux,17/02/22,17:05:23
JCDecaux,17/02/22,17:05:28
JCDecaux,17/02/22,17:05:33
JCDecaux,17/02/22,17:05:38
JCDecaux,17/02/22,17:05:44
JCDecaux,17/02/22,17:06:09
JCDecaux,17/02/22,17:06:34
JCDecaux,17/02/22,17:06:39
JCDecaux,17/02/22,17:09:28
JCDecaux,17/02/22,17:09:33
JCDecaux,17/02/22,17:09:38
JCDecaux,17/02/22,17:09:44
JCDecaux,17/02/22,17:09:49
JCDecaux,17/02/22,17:09:54
JCDecaux,20/02/22,16:28:27
JCDecaux,20/02/22,16:41:55
JCDecaux,20/02/22,16:42:04
JCDecaux,20/02/22,16:47:04
JCDecaux,20/02/22,16:52:07
